DATE,M2REAL
2020-01-01,5943.6
2020-02-01,5959.7
2020-03-01,6190.3
2020-04-01,6637.3
2020-05-01,6976.7
2020-06-01,7055.5
2020-07-01,7080.1
2020-08-01,7072.2
2020-09-01,7144.3
2020-10-01,7195.6
2020-11-01,7265.5
2020-12-01,7294.6
2021-01-01,7369.9
2021-02-01,7434.6
2021-03-01,7489.6
2021-04-01,7543.7
2021-05-01,7610.9
2021-06-01,7579.3
2021-07-01,7603.3
2021-08-01,7640.2
2021-09-01,7650.4
2021-10-01,7636.4
2021-11-01,7648.2
2021-12-01,7671.9
2022-01-01,7629.9
2022-02-01,7578.9
2022-03-01,7547.7
2022-04-01,7510.9
2022-05-01,7438.4
2022-06-01,7351.3
2022-07-01,7366.4
2022-08-01,7334.4
2022-09-01,7258.8
2022-10-01,7192.7
2022-11-01,7166.6
2022-12-01,7143.5
2023-01-01,7061.5
2023-02-01,6995.1
2023-03-01,6917.0
2023-04-01,6835.4
2023-05-01,6864.7
2023-06-01,6863.6
2023-07-01,6855.2
2023-08-01,6799.7
2023-09-01,6750.0
2023-10-01,6737.4
